0;0;0;0;sea;false;ocean;0
1;136;26;1;land;true;desert;4
2;38;99;188;land;false;plains;6
3;217;47;207;land;false;forest;4
4;22;107;146;land;false;forest;2
5;205;99;253;land;true;forest;2
6;251;117;191;land;false;desert;3
7;33;148;94;land;false;desert;3
8;198;52;28;land;false;plains;7
9;193;157;181;land;true;forest;4
10;255;111;155;land;false;forest;7
11;145;22;105;land;false;forest;2
12;167;205;236;land;false;forest;2
13;97;23;35;land;false;forest;2
14;86;235;32;land;false;forest;2
15;90;107;209;land;false;forest;2
16;112;227;155;land;false;forest;2
17;36;142;117;land;false;plains;8
18;22;11;65;land;false;plains;7
19;218;70;185;land;true;forest;2
20;110;8;230;land;false;plains;7
21;194;181;209;land;true;plains;8
22;18;161;81;land;false;jungle;6
23;205;254;135;land;true;plains;2
24;219;237;245;land;false;plains;2
25;141;253;89;land;true;plains;2
26;136;49;226;land;false;forest;2
27;22;13;233;land;true;plains;6
28;14;179;47;land;false;forest;2
29;182;53;88;land;false;forest;2
30;134;135;133;land;false;forest;2
31;178;142;242;land;false;jungle;4
32;235;25;102;land;false;desert;2
33;129;138;227;land;false;forest;7
34;147;225;72;land;false;forest;2
35;51;206;71;land;false;plains;8
36;181;192;49;land;true;forest;2
37;1;152;252;land;true;plains;8
38;28;194;171;land;false;desert;3
39;24;126;10;land;false;plains;8
40;140;27;13;land;false;forest;2
41;83;185;3;land;false;plains;7
42;199;71;105;land;true;plains;6
43;134;5;102;land;true;plains;8
44;237;13;247;land;true;plains;7
45;98;144;170;land;true;plains;2
46;194;8;144;land;true;desert;4
47;249;134;93;land;false;forest;7
48;113;29;236;land;false;desert;3
49;68;221;53;land;false;plains;6
50;90;141;166;land;true;plains;2
51;188;183;134;land;false;plains;7
52;47;117;238;land;false;plains;6
53;13;61;19;land;false;plains;7
54;218;23;244;land;false;forest;2
55;194;156;55;land;true;jungle;4
56;64;158;226;land;true;forest;5
57;151;82;252;land;false;plains;7
58;172;113;6;land;false;desert;3
59;183;70;22;land;false;forest;2
60;163;104;166;land;true;desert;4
61;130;168;215;land;true;plains;2
62;59;91;15;land;true;plains;7
63;201;57;171;land;false;forest;2
64;19;31;133;land;false;forest;2
65;209;140;219;land;false;plains;7
66;98;180;59;land;false;forest;2
67;131;252;209;land;false;forest;2
68;22;50;253;land;false;forest;2
69;14;67;226;land;true;plains;8
70;204;186;117;land;false;forest;2
71;32;53;96;land;false;desert;3
72;110;218;141;land;false;forest;4
73;189;93;60;land;false;plains;6
74;249;131;98;land;false;forest;2
75;214;110;118;land;false;forest;2
76;41;246;164;land;false;plains;7
77;126;32;55;land;false;forest;2
78;76;240;170;land;false;forest;2
79;115;23;52;land;false;desert;3
80;41;193;54;land;false;forest;2
81;16;218;119;land;false;forest;2
82;23;84;68;land;false;plains;7
83;128;121;40;land;true;desert;4
84;139;26;191;land;false;plains;7
85;158;75;83;land;true;desert;4
86;236;254;134;land;false;forest;2
87;94;222;199;land;true;jungle;4
88;175;209;209;land;true;plains;8
89;146;186;237;land;true;plains;7
90;187;46;254;land;false;forest;2
91;46;38;179;land;false;forest;2
92;102;177;173;land;false;plains;7
93;120;22;138;land;true;desert;4
94;64;231;64;land;false;forest;2
95;237;171;164;land;true;plains;6
96;6;134;127;land;false;forest;4
97;206;30;106;land;false;forest;2
98;20;72;123;land;false;desert;4
99;200;171;167;land;false;plains;6
100;49;36;50;land;false;forest;2
101;88;220;22;land;false;forest;2
102;212;60;55;land;false;forest;2
103;164;38;172;land;false;plains;8
104;182;255;8;land;true;forest;7
105;160;233;50;land;false;forest;2
106;4;167;103;land;false;desert;3
107;103;78;151;land;false;jungle;4
108;77;113;160;land;false;forest;2
109;129;62;116;land;true;forest;2
110;160;15;17;land;false;marsh;2
111;210;79;218;land;false;plains;7
112;35;11;174;land;true;desert;3
113;62;230;89;land;false;forest;2
114;161;126;30;land;false;forest;2
115;139;192;202;land;false;desert;2
116;202;53;197;land;false;plains;7
117;151;250;57;land;false;plains;8
118;131;76;185;land;true;desert;3
119;113;185;83;land;false;plains;7
120;58;102;243;land;true;forest;2
121;81;83;92;land;false;forest;2
122;81;166;16;land;false;desert;3
123;115;244;83;land;true;desert;3
124;30;15;127;land;false;forest;2
125;81;119;223;land;false;forest;7
126;44;131;52;land;false;forest;2
127;58;237;67;land;false;marsh;2
128;34;82;212;land;false;forest;2
129;56;49;228;land;true;plains;8
130;150;77;219;land;true;plains;7
131;23;233;94;land;false;plains;7
132;195;119;183;land;true;plains;7
133;68;112;18;land;true;jungle;4
134;249;110;117;land;true;plains;6
135;141;218;246;land;false;plains;6
136;175;242;70;land;false;mountain;2
137;191;41;45;land;true;forest;5
138;76;172;211;land;true;forest;4
139;227;28;89;land;false;plains;6
140;227;22;216;land;true;plains;3
141;83;231;119;land;false;forest;2
142;86;40;182;land;false;plains;6
143;16;173;166;land;true;plains;7
144;110;147;13;land;false;forest;2
145;250;87;56;land;false;forest;2
146;184;82;220;land;false;forest;2
147;219;111;80;land;false;desert;3
148;240;234;153;land;false;plains;6
149;162;246;195;land;false;mountain;2
150;223;135;222;land;true;plains;2
151;211;98;186;land;true;plains;8
152;44;206;240;land;false;marsh;2
153;185;125;147;land;false;desert;2
154;217;247;209;land;true;forest;5
155;70;200;177;land;false;forest;2
156;16;236;168;land;false;plains;8
157;194;255;189;land;true;jungle;5
158;180;122;87;land;false;forest;2
159;161;155;227;land;false;plains;8
160;245;43;239;land;true;forest;2
161;115;101;135;land;false;plains;7
162;76;211;101;land;true;desert;3
163;42;36;96;land;false;forest;2
164;195;205;14;land;true;plains;8
165;9;106;210;land;true;plains;6
166;18;196;94;land;false;forest;2
167;194;135;76;land;false;plains;6
168;31;250;136;land;false;desert;3
169;121;78;17;land;false;forest;2
170;85;225;52;land;false;marsh;2
171;179;118;214;land;true;plains;3
172;190;83;199;land;false;forest;2
173;54;98;244;land;false;desert;3
174;194;215;233;land;false;forest;7
175;90;166;110;land;true;jungle;4
176;137;127;164;land;false;desert;3
177;52;4;111;land;false;desert;4
178;99;56;214;land;false;desert;3
179;17;229;106;land;false;plains;7
180;109;135;225;land;false;forest;2
181;170;14;35;land;false;desert;3
182;127;75;245;land;true;plains;3
183;248;97;108;land;false;mountain;2
184;60;126;118;land;false;plains;7
185;147;248;150;land;true;forest;4
186;24;35;19;land;false;forest;2
187;114;47;191;land;false;desert;3
188;247;74;174;land;false;forest;2
189;149;205;59;land;true;jungle;4
190;163;230;190;land;false;forest;2
191;228;139;117;land;true;forest;2
192;176;248;107;land;false;desert;2
193;25;176;181;land;false;mountain;2
194;140;248;61;land;true;plains;8
195;173;220;67;land;false;forest;2
196;15;244;223;land;false;forest;2
197;36;15;53;land;false;forest;2
198;68;173;44;land;false;plains;7
199;199;119;148;land;false;forest;2
200;16;97;30;land;false;forest;2
201;197;167;229;land;true;forest;2
202;136;158;255;land;false;plains;2
203;194;39;13;land;false;desert;3
204;164;206;65;land;false;forest;2
205;215;51;70;land;false;desert;4
206;211;51;204;land;false;jungle;4
207;49;196;196;land;false;forest;2
208;23;101;24;land;true;forest;6
209;242;74;117;land;true;jungle;4
210;40;181;217;land;true;plains;7
211;93;120;188;land;true;mountain;6
212;23;203;179;land;false;forest;2
213;7;102;126;land;false;plains;8
214;123;90;85;land;false;forest;2
215;119;178;148;land;true;plains;8
216;57;149;59;land;true;forest;2
217;68;63;177;land;false;forest;2
218;111;10;239;land;true;forest;2
219;127;93;47;land;true;forest;7
220;61;120;81;land;false;desert;4
221;185;78;132;land;false;desert;3
222;54;14;22;land;false;forest;2
223;11;200;46;land;true;plains;6
224;160;32;214;land;true;forest;5
225;250;52;43;land;false;plains;7
226;235;68;239;land;false;forest;2
227;139;147;52;land;true;forest;2
228;34;167;92;land;false;plains;7
229;132;232;2;land;false;plains;7
230;127;170;68;land;false;plains;7
231;39;50;85;land;true;forest;5
